POSTE,HEURE,VITESSE,DEBIT (VEH/6min)
50,10:18,41.96,30
50,10:24,45.32,29.5
50,10:30,41.04,27.33
50,10:36,44.96,26.5
50,10:42,44.99,30.5
50,10:48,40.68,30.5
50,10:54,43.11,32.5
50,11:00,40.57,30
50,11:06,44.4,31.33
50,11:12,44.03,28.33
50,11:18,45.06,34
50,11:24,45.06,33
50,11:30,45.63,30.83
50,11:36,45.64,29.17
50,11:42,43.94,29.67
50,11:48,43.98,36.67
50,11:54,43.74,33.83
50,12:00,41.79,29.5
50,12:06,44.73,30.67
50,12:12,46.36,29.17
50,12:18,40.96,34.5
50,12:24,39.96,33
50,12:30,47.5,28.83
50,12:36,47.21,29.33
50,12:42,48.08,32
50,12:48,47.43,26.5
50,12:54,45.69,24.83
50,13:00,46.51,27.17
50,13:06,48.55,30.17
50,13:12,48.22,28.17
50,13:18,47.19,31.67
50,13:24,48.17,29.67
50,13:30,44.99,38.83
50,13:36,42.63,34.67
50,13:42,43.92,39.5
50,13:48,45.25,37.5
50,13:54,44.77,35.17
50,14:00,44.23,34.67
50,14:06,42.79,33.5
50,14:12,45.24,28
50,14:18,46.28,32.17
50,14:24,44.12,33.83
50,14:30,43.41,32.83
50,14:36,42.39,30.67
50,14:42,40.41,30
50,14:48,40.89,29.17
50,14:54,42.34,29.67
50,15:00,42.6,30.33
50,15:06,45.79,31.67
50,15:12,40.41,31.67
50,15:18,43.94,31.17
50,15:24,44.87,32.17
50,15:30,44.89,32.33
50,15:36,45.07,36
50,15:42,43.72,31.67
50,15:48,43.81,37.33
50,15:54,43.37,37
50,16:00,43.95,35
50,16:06,44.76,38.67
50,16:12,44.46,35.67
50,16:18,42.4,37.17
50,16:24,38.55,42
50,16:30,42.98,42.17
50,16:36,41.92,41.17
50,16:42,40.14,38.83
50,16:48,39.26,38.83
50,16:54,37.52,40
50,17:00,38.17,39.67
50,17:06,35.37,31.5
50,17:12,32.89,32.17
50,17:18,30.34,31
50,17:24,33.12,33.83
50,17:30,33.84,42.33
50,17:36,35.51,44
50,17:42,37.48,38.17
50,17:48,39.25,41.17
50,17:54,36.18,46.17
50,18:00,40.85,37
50,18:06,42.73,41
50,18:12,41.62,41.83
50,18:18,39.98,43.67
50,18:24,38.82,40.33
50,18:30,41.35,42
50,18:36,40.99,38.17
50,18:42,40.39,43.33
50,18:48,38.4,43.5
50,18:54,41.66,32
50,19:00,41.72,34.5
50,19:06,41.76,42.17
50,19:12,41,36.17
50,19:18,41.07,41
50,19:24,40.21,35.83
50,19:30,41.61,34.33
50,19:36,42.78,34.5
50,19:42,45.21,29.83
50,19:48,44.45,30.17
50,19:54,45.23,23.67
50,20:00,44.61,25.67
50,20:06,44.99,25.33
50,20:12,44.53,26.33
50,20:18,45.8,23.5
50,20:24,46.3,18.67
50,20:30,47.75,18.5
50,20:36,49.18,13.83
50,20:42,49.23,16.83
50,20:48,47.7,14.33
50,20:54,49.19,10.83
50,21:00,46.4,12.5
50,21:06,50.19,12.83
50,21:12,48.41,9.83
50,21:18,48.91,11.83
50,21:24,45.68,11.83
50,21:30,46.21,9.33
50,21:36,45.27,11.17
50,21:42,46.27,12.5
50,21:48,46.52,11.83
50,21:54,45.63,11
50,22:00,47.26,8.33
50,22:06,45.78,10.67
50,22:12,47.99,10.17
50,22:18,48.61,10.83
50,22:24,49.86,6.67
50,22:30,47.61,8.83
50,22:36,50.24,6
50,22:42,51.19,9
50,22:48,48.96,7.5
50,22:54,50.54,8.83
50,23:00,48.21,7.17
50,23:06,49.53,6.67
50,23:12,50.42,7.83
50,23:18,48.06,6.83
50,23:24,47.17,7.67
50,23:30,48.88,7
50,23:36,45.78,6.5
50,23:42,47.6,6
50,23:48,46.54,5.5
50,23:54,43.08,3
52,00:00,34.6,3.33
52,00:06,33.83,3.67
52,00:12,39.58,2.83
52,00:18,38.19,3.33
52,00:24,36.53,2.83
52,00:30,39.1,3.33
52,00:36,25.56,2.17
52,00:42,24.52,2.17
52,00:48,26.94,3
52,00:54,30.56,2.33
52,01:00,38.06,1.67
52,01:06,25,1.33
52,01:12,35.28,2.17
52,01:18,19.17,1.17
52,01:24,26.94,1.67
52,01:30,38.06,2.17
52,01:36,34.17,0.83
52,01:42,26.67,0.67
52,01:48,26.67,1.33
52,01:54,11.67,0.83
52,02:00,7.5,0.17
52,02:06,27.5,0.83
52,02:12,38.33,1.33
52,02:18,5.83,0.67
52,02:24,29.17,0.83
52,02:30,19.17,1.17
52,02:36,20.83,0.5
52,02:42,15,0.67
52,02:48,5.83,0.33
52,02:54,12.5,0.5
52,03:00,11.67,0.5
52,03:06,16.94,1.17
52,03:12,17.5,0.5
52,03:18,7.5,0.33
52,03:24,13.33,0.33
52,03:30,17.5,0.5
52,03:36,11.67,0.33
52,03:42,14.17,0.83
52,03:48,18.33,0.83
52,03:54,11.67,0.33
52,04:00,24.17,1
52,04:06,14.44,0.67
52,04:12,40,1.17
52,04:18,37.5,1.67
52,04:24,26.67,1
52,04:30,35.97,2.67
52,04:36,33.75,1.67
52,04:42,36.28,2.33
52,04:48,22.22,1
52,04:54,29.17,2
52,05:00,37.78,2.67
52,05:06,36.87,5.33
52,05:12,38.81,5
